comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 2–4,b2b47a98,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-15,41091264
Premier League,Matchweek 2,L 0–2,b2b47a98,8602292d,1,90,0,0,0,0,0,0,1,0,64,1,1,0,0.0,0.0,0.0,1,0,41,56,73.2,1,37,3,0,0,2021-08-21,662d4074
Premier League,Matchweek 3,D 2–2,b2b47a98,33c895d4,1,90,0,0,0,0,0,0,1,0,49,1,0,1,0.0,0.0,0.0,1,1,28,40,70.0,1,25,0,0,0,2021-08-28,d81af076
Premier League,Matchweek 4,L 1–4,b2b47a98,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-11,7794fd6c
Premier League,Matchweek 5,D 1–1,b2b47a98,5bfb9659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-17,aad7d38a
Premier League,Matchweek 6,D 1–1,b2b47a98,2abfe087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-25,70fda3e9
Premier League,Matchweek 7,L 1–2,b2b47a98,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-02,00dcbdaa
Premier League,Matchweek 8,L 2–3,b2b47a98,361ca564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-17,4bd69343
Premier League,Matchweek 9,D 1–1,b2b47a98,47c64c55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-23,4d1b6f6f
Premier League,Matchweek 10,L 0–3,b2b47a98,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-30,49478cd2
Premier League,Matchweek 11,D 1–1,b2b47a98,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-11-06,10d11999
