comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 26,L 1–4,b2b47a98,18bb7c10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-24,8f922133
Premier League,Matchweek 28,L 2–3,b2b47a98,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-11,d4b4c06f
Premier League,Matchweek 30,W 4–3,b2b47a98,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-30,10600f89
Premier League,Matchweek 31,D 1–1,b2b47a98,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-02,52846bc3
Premier League,Matchweek 32,W 1–0,b2b47a98,fd962109,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,2024-04-06,a9d2819f
Premier League,Matchweek 33,W 4–0,b2b47a98,361ca564,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,2024-04-13,50db3243
Premier League,Matchweek 29,L 0–2,b2b47a98,47c64c55,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,1,0,0,2024-04-24,ee21eba2
Premier League,Matchweek 35,W 5–1,b2b47a98,1df6b87e,0,9,0,0,0,0,0,0,0,0,11,0,0,2,0.0,0.0,0.0,0,0,7,8,87.5,0,8,0,0,0,2024-04-27,e92d40be
Premier League,Matchweek 36,W 4–1,b2b47a98,943e8050,0,6,0,0,0,0,1,1,0,0,19,2,0,0,0.1,0.1,0.0,1,0,10,15,66.7,1,8,2,0,0,2024-05-04,070bf86d
Premier League,Matchweek 37,D 1–1,b2b47a98,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-11,6dbd7d72
Premier League,Matchweek 34,L 2–3,b2b47a98,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-15,e43e8597
Premier League,Matchweek 38,W 4–2,b2b47a98,cd051869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-19,546e1a3d
