comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–1,8cec06e1,19538871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-14,f1ecda2c
Premier League,Matchweek 2,L 1–4,8cec06e1,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-19,d7c606ec
Premier League,Matchweek 3,W 1–0,8cec06e1,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-26,18dfee28
Premier League,Matchweek 4,L 2–3,8cec06e1,47c64c55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-03,f9436d32
Premier League,Matchweek 5,L 1–3,8cec06e1,822bd0ba,0,31,0,0,0,0,1,0,0,0,17,0,0,1,0.1,0.1,0.1,1,0,9,12,75.0,1,13,0,2,1,2023-09-16,38daebd2
Premier League,Matchweek 6,D 1–1,8cec06e1,e297cd13,0,45,0,0,0,0,0,0,0,0,24,0,0,1,0.0,0.0,0.0,0,0,10,16,62.5,0,10,1,1,0,2023-09-23,76a1421e
Premier League,Matchweek 7,W 2–1,8cec06e1,b8fd03ef,0,17,0,0,0,0,0,0,0,0,9,0,1,1,0.0,0.0,0.0,0,0,4,5,80.0,0,4,0,0,0,2023-09-30,60ce29cd
Premier League,Matchweek 8,D 1–1,8cec06e1,8602292d,0,45,0,0,0,0,0,0,0,0,25,1,0,0,0.0,0.0,0.0,0,0,14,19,73.7,0,11,0,1,1,2023-10-08,3292ed35
Premier League,Matchweek 9,W 2–1,8cec06e1,4ba7cbea,1,90,0,0,0,0,1,0,0,0,71,3,1,1,0.0,0.0,0.4,3,0,48,63,76.2,2,22,0,1,0,2023-10-21,007b352e
Premier League,Matchweek 10,D 2–2,8cec06e1,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-28,b84d060a
Premier League,Matchweek 11,L 1–2,8cec06e1,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-04,e841bbac
Premier League,Matchweek 12,W 2–1,8cec06e1,361ca564,0,24,0,0,0,0,0,0,1,0,11,0,0,1,0.0,0.0,0.0,0,0,7,10,70.0,1,8,0,0,0,2023-11-11,1634f066
Premier League,Matchweek 13,L 2–3,8cec06e1,fd962109,0,72,0,0,0,0,1,1,0,0,38,1,0,0,0.1,0.1,0.1,1,0,21,30,70.0,1,22,0,1,1,2023-11-27,b19cc422
Premier League,Matchweek 14,L 1–2,8cec06e1,18bb7c10,0,29,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.1,1,0,17,21,81.0,1,11,1,0,0,2023-12-02,6e65df8e
Premier League,Matchweek 15,W 1–0,8cec06e1,943e8050,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,0,0,0,0,2023-12-05,a52ffb27
Premier League,Matchweek 16,D 1–1,8cec06e1,e4a775cb,0,22,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,16,19,84.2,1,8,0,1,0,2023-12-09,8c8fdba5
Premier League,Matchweek 17,L 0–3,8cec06e1,7c21e445,0,11,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,10,11,90.9,0,3,0,0,0,2023-12-17,5f5bc7b3
Premier League,Matchweek 18,W 2–1,8cec06e1,cff3d9bb,0,5,1,0,0,0,1,1,0,0,8,0,0,0,0.3,0.3,0.0,0,0,3,6,50.0,0,2,0,0,0,2023-12-24,8c0b314c
Premier League,Matchweek 19,W 4–1,8cec06e1,cd051869,0,27,0,0,0,0,0,0,0,0,21,3,1,0,0.0,0.0,0.0,0,0,7,13,53.8,0,5,0,1,0,2023-12-27,ea28d527
Premier League,Matchweek 20,W 3–0,8cec06e1,d3fd31cc,0,6,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,10,13,76.9,1,6,1,0,0,2023-12-30,7dfc59ca
Premier League,Matchweek 21,D 0–0,8cec06e1,d07537b9,1,90,0,0,0,0,0,0,0,0,43,2,0,1,0.0,0.0,0.0,0,0,22,33,66.7,0,14,0,1,1,2024-01-22,35fb5bc2
Premier League,Matchweek 22,L 3–4,8cec06e1,19538871,1,53,0,0,0,0,0,0,0,0,30,3,0,0,0.0,0.0,0.1,0,0,21,24,87.5,2,14,2,0,0,2024-02-01,457203bc
Premier League,Matchweek 23,W 4–2,8cec06e1,cff3d9bb,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-02-04,dfde4bd7
Premier League,Matchweek 24,L 0–2,8cec06e1,cd051869,0,8,0,0,0,0,1,0,0,0,10,0,1,0,0.0,0.0,0.0,1,0,9,9,100.0,4,8,1,0,0,2024-02-10,922cd256
Premier League,Matchweek 25,W 2–1,8cec06e1,361ca564,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-02-17,30193251
Premier League,Matchweek 26,W 1–0,8cec06e1,1df6b87e,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,1,0,0,2024-02-25,ada09dda
