comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,D 0–0,d3fd31cc,47c64c55,1,68,0,0,0,0,1,0,0,0,24,0,0,0,0.1,0.1,0.0,2,0,11,15,73.3,0,16,1,0,0,2019-08-10,a802f51e
Premier League,Matchweek 2,W 1–0,d3fd31cc,2abfe087,1,71,0,0,0,0,0,0,0,0,18,2,1,0,0.0,0.0,0.0,0,0,4,11,36.4,2,9,1,2,1,2019-08-17,f35c8c3a
Premier League,Matchweek 3,L 0–2,d3fd31cc,8602292d,1,90,0,0,0,0,1,0,1,0,28,0,0,0,0.4,0.4,0.0,0,0,11,17,64.7,4,16,2,2,1,2019-08-23,3e805eff
Premier League,Matchweek 4,W 3–2,d3fd31cc,8cec06e1,0,15,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0,2019-09-01,70303b7b
Premier League,Matchweek 5,L 1–3,d3fd31cc,4ba7cbea,1,70,1,0,0,0,3,2,0,0,22,0,0,0,0.8,0.8,0.0,0,0,7,12,58.3,0,15,1,1,0,2019-09-15,886c59ae
Premier League,Matchweek 6,L 0–2,d3fd31cc,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-21,707ee0eb
Premier League,Matchweek 7,L 1–3,d3fd31cc,b8fd03ef,1,90,1,0,0,0,3,2,0,0,27,0,0,1,1.6,1.6,0.0,2,0,6,14,42.9,0,12,2,1,0,2019-09-28,1b9f4fc3
Premier League,Matchweek 8,L 0–1,d3fd31cc,943e8050,1,73,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,3,12,25.0,1,6,0,0,0,2019-10-05,2f9439d0
Premier League,Matchweek 9,W 2–0,d3fd31cc,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-10-19,0fa45675
Premier League,Matchweek 10,L 2–3,d3fd31cc,d07537b9,0,19,1,0,0,0,1,1,0,0,8,0,0,0,0.3,0.3,0.0,0,0,3,5,60.0,0,6,0,0,0,2019-10-26,f728ceea
Premier League,Matchweek 11,D 1–1,d3fd31cc,361ca564,0,8,0,0,0,0,1,0,0,0,4,0,0,0,0.5,0.5,0.0,0,0,1,2,50.0,1,2,0,0,0,2019-11-03,efe9c8f4
